A.T. Still University,UID (OpenAthens) ,email (tag z) > tag e
Avila University,Name ID (ADFS),barcode (tag b) > tag e
Benedictine College,(OpenAthens),email (tag z) > tag e
Calvary University,barcode/PIN,barcode (tag b) (use email for ESID)
Central Methodist University,employeeID,unique id (tag u) without suffix > tag e
Columbia College,collegeId (Azure),unique id (tag u) without suffix > tag e
Conception Abbey and Seminary College,barcode/PIN,barcode (tag b) (use email for ESID)
Concordia Seminary,nameidentifier (Azure),unique id (tag u) > tag e
Cottey College,  employeeid (OpenAthens),barcode (tag b) > tag e
Covenant Theological Seminary,user.userprincipalname (Azure),external id (tag e)
Crowder College,email address,email (tag z) > tag e
Culver-Stockton College,(OpenAthens),email (tag z) > tag e
Drury University,employeeID (OneLogin),barcode (tag b) > tag e
East Central College,employeeID (OpenAthens),barcode (tag b) > tag e (IN PROCESS-CONFIRM)
Evangel University,(OpenAthens),email (tag z) > tag e
Fontbonne University,(OpenAthens),email (tag z) > tag e
Goldfarb School of Nursing at Barnes-Jewish College,UPN (OpenAthens),bjc email (tag e)
Hannibal-LaGrange University,(ADFS),email (tag z) > tag e
Harris-Stowe State University,barcode/PIN,barcode (tag b) (use email for ESID)
Jefferson College,Name ID (GSuite Google),unique id (tag u) without suffix > tag e
Kansas City Art Institute,(OpenAthens),barcode (tag b) > tag e
Kansas City Kansas Community College,eduPersonPrincipalName (Azure),UPN (matches email address) > tag e
Kansas City University,barcode/PIN,barcode (tag b) (use email for ESID)
Kenrick-Glennon Theological Seminary,OA FOLIO ECS connector (barcode/pin),unique id (tag u) > tag e and > tag b
Lincoln University,employeeid (Azure),barcode (tag b) > tag e
Lindenwood University,(OpenAthens),email (tag z) > tag e
Logan University,(Azure),unique id (tag u) without suffix > tag e
Maryville University,user.managerId (Okta),internal note (tag x) > tag e
Metropolitan Community College,(Azure),unique id (tag u) without suffix > tag e
Midwestern Baptist Theological Seminary,OpenAthens - UPN Local ID from Azure,email (tag z) > tag e
Mineral Area College,(OpenAthens),email (tag z) > tag e
Missouri Baptist University,(OpenAthens),email (tag z) > tag e
Missouri Botanical Garden,(OpenAthens),email (tag z) > tag e (copy u > b)
Missouri History Museum,barcode/PIN,barcode (tag b) (use email for ESID)
Missouri Southern State University,user.employeeid (Azure),unique id (tag u) without suffix > tag e
Missouri State Library,barcode/PIN,barcode (tag b) (use barcode as ESID)
Missouri Valley College,(Google),email (tag z) > tag e
Missouri Western State University,employeeNumber (Shibboleth),barcode (tag b) > tag e
Moberly Area Community College,(OpenAthens),MACC ID > tag e
Nazarene Theological Seminary,(OpenAthens),email (tag z) > tag e
North Central Missouri College, oa_campusid (ADFS),barcode (tag b) > tag e
Northwest Missouri State University,oa.campusid (OpenAthens),unique id (tag u) > tag e (without suffix)
Ozark Christian College,employeeId (OpenAthens),barcode (tag b) > tag e
Ozarks Technical Community College,(OpenAthens),email (tag z) > tag e
Park University,UID (ID number + @park.edu),unique id (tag u) no suffix > tag e
Rockhurst University, employeeID (QuickLaunch),unique id without suffix (CONFIRM)
Saint Louis Art Museum, user.principalname (Azure),internal note (tag x)
Saint Paul School of Theology,(OpenAthens),email (tag z) > tag e
Southwest Baptist University,user.email (OpenAthens),email (tag z) > tag e
Southwestern Baptist Theological Seminary,(ADFS),email (tag z) > tag e
St. Charles Community College,identifier (ID number) (OpenAthens),email (tag z) > tag e
St. Louis Community College,udcid (25-character GUID) (Azure),univ id (tag e)
State Fair Community College,Employee ID or Local ID (OpenAthens),unique id (tag u) without suffix > tag e
State Technical College of Missouri,(OpenAthens),email (tag z) > tag e
Stephens College,user.userprincipalname (Azure),email (tag z) > tag e
Three Rivers College,barcode/PIN,barcode (tag b) (use email for ESID)
Truman State University,barcode/PIN,Use Unique ID as barcode (tag u) (Email as ESID) (Barcode as username)
University of Health Sciences and Pharmacy in St. Louis,user.userprincipalname (Azure),email (tag z) > tag e
Webster University,user.employeeid (Azure),u field without EWL suffix > tag e
Westminster College,userPrincipalName (OpenAthens),email (tag z) > tag e
William Jewell College,(OpenAthens),unique id without suffix > tag e (CONFIRM)
William Woods University,user.userprincipalname (Azure),email address (tag z) > tag e
