Patron Loads (Sierra),Institution,Patron Files,On Scheduler?,Schedule,# records (most recent file),Notes
Archway,,,,,,
,East Central College,eccpat.txt,yes,"Tuesday, Friday",3143,
,Jefferson College,jcpat.txt,yes,Daily,4752,
,Mineral Area College,MACStummddyy.txt,no,Weekly,2412,
,,MACStaffmmddyy.txt,no,Weekly,311,
,,MACAdjunctmmddyy.txt,no,Weekly,101,
,St. Charles Community College,SCCstudent,no,as requested,5883,
,,SCCstaff,no,as requested,1288,
,St. Louis Community College,SLCCStudent,yes,"Monday, Wednesday",15083,
,,SLCCStaff,yes,"Monday, Wednesday",3122,
,Three Rivers College,TRCstuyyyymmdd,no,as requested,2584,
,,TRCstaffyyyymmdd,no,as requested,317,
,University of Health Sciences & Pharmacy,stlcoppat.txt,no,as requested,820,
,,,,,,
Arthur,,,,,,
,Columbia College,COLUMBIA_PATRONS,yes,Daily,3918,
,Lincoln University,LUPAT.Dyymdd,no,as requested,1295,
,Missouri State Library,n/a,no,n/a,n/a,
,Stephens College,scstudent,no,as requested,567,
,Westminster College,wcstudents.txt,no,as requested,204,
,William Woods University,WWUpatrons.txt,no,as requested,2689,
,,WWUbarcodesUG.txt,no,as requested,769,
,,,,,,
Avalon,,,,,,
,A.T. Still University,ATSU_mmddyyyy.txt,no,as requested,4747,
,Central Methodist University,CMUstuyyyymmdd.out,no,as requested,1010,
,,CMUgryyyymmdd.out,no,as requested,322,
,,CMUfacyyyymmdd.out,no,as requested,961,
,Culver-Stockton College,csctmmddyyyy.txt,no,as requested,1273,
,Hannibal-LaGrange University,HLG-STUDENTS,yes,Weekly,464,
,Missouri Valley College,MVC_Student_Updates,no,as requested,1520,
,Moberly Area Community College,MACCPatLoadmm-dd-yy,no,as requested,7683,
,State Fair Community College,SFCC_Student_mmddyy.txt,no,as requested,3229,
,,SFCC_Staff_mmddyy.txt,no,as requested,678,
,State Technical College,STC_yyyy-mm-dd,no,as requested,2263,
,Truman State University,tpbstupat,yes,Weekly,3541,
,,,,,,
Bridges,,,,,,
,Concordia Seminary,cslpatrons.txt,yes,Daily,823,
,Covenant Seminary,covstu.txt,yes,Weekly,603,
,,covfac.txt,yes,Weekly,323,
,Fontbonne University,FCstuPAT.DAT,yes,"Tuesday, Friday",944,
,,FCfacPAT.DAT,yes,"Tuesday, Friday",445,
,Harris-Stowe State University,HSSUyymmdd.txt,no,as requested,313,
,Kenrick-Glennon Seminary,n/a,no,n/a,n/a,
,Lindenwood University,LUSTUPAT.txt,yes,Daily,5994,
,,LUFACPAT.txt,yes,Daily,1391,
,Logan University,loganstu.txt,no,as requested,1528,
,Maryville University,mustupat.dyymmdd.txt,no,as requested,10167,
,,mustapat.dyymmdd.txt,no,as requested,279,
,,mufacpat.dyymmdd.txt,no,as requested,118,
,,muadjpat.dyymmdd.txt,no,as requested,864,
,Missouri Baptist University,mobapstu.txt,yes,"Tuesday, Thursday",4424,
,Webster University-Eden Seminary,EWLPat.txt,yes,Daily,16755,
,,,,,,
Explore,,,,,,
,Goldfarb School of Nursing,n/a,no,,,
,Missouri Botanical Garden,n/a,no,,,
,Missouri History Museum,n/a,no,,,
,Saint Louis Art Museum,n/a,no,,,
,,,,,,
KC-Towers,,,,,,
,Avila University,AvilaUniversity,no,as requested,1984,
,Benedictine College,bcpatrons.txt,no,as requested,2239,
,Calvary University,n/a,no,n/a,n/a,
,Conception Abbey,n/a,no,n/a,n/a,
,Kansas City Art Institute,KCAI,no,as requested,801,
,Kansas City KS Community College,KCKCC_LIB_STU.txt,yes,Weekly,18849,
,,KCKCC_LIB_EMP.txt,yes,Weekly,990,
,Kansas City University,KCU-yyyy-mm-dd.txt,no,as requested,2939,
,Metropolitan Community College,mccstuMMYY.txt,no,as requested,12744,
,,mccfacMMYY.txt,no,as requested,6332,
,Midwestern Baptist Theological Seminary,mbtsstu.dyymmdd.txt,no,as requested,2427,
,Missouri Western State University,mwsuugr.txt,yes,Weekly,3704,
,,mwsugr.txt,yes,Weekly,202,
,,mwsufac.txt,yes,Weekly,820,
,,mwsuexp.txt,yes,Weekly,205,
,,mwsuadj.txt,yes,Weekly,171,
,,mwsuinst.txt,yes,Weekly,66,
,,mwsuwdraw.txt,no,as requested,414,
,Nazarene Theological Seminary,nts_patrons.txt,no,as requested,842,
,North Central Missouri College,ncmcstu.txt,yes,Weekly,1820,
,Northwest Missouri State University,nwmsustu.txt,yes,Daily,10282,
,,nwmsuempl.txt,yes,Daily,1279,
,Park University,parkstufac.txt,yes,Weekly,7469,
,Rockhurst University,RKRST_Stu_mm-dd-yyyy.txt,no,as requested,1256,
,,RKRST_Staff_mm-dd-yyyy.txt,no,as requested,299,
,,RKRST_Faculty_mm-dd-yyyy.txt,no,as requested,443,
,Saint Paul School of Theology,n/a,no,n/a,n/a,
,William Jewell College,WJC_MOBIUS_STUDENTS.txt,no,as requested,880,
SWAN,,,,,,
,Cottey College,COTTyyyymmdd.txt,no,as requested,271,
,Crowder College,ccstupat.txt,no,as requested,5151,
,Drury University,DRURYPAT_students.txt,yes,"Tuesday, Friday",3597,
,,DRURYPAT_employees.txt,yes,"Tuesday, Friday",1017,
,,DRURYPAT_alumni.txt,yes,"Tuesday, Friday",15310,
,Evangel University,EUPatronCamsExport_month_day_year,no,as requested,3809,
,Missouri Southern State University,MSSCALL,yes,Daily,5235,
,Ozark Christian College,MobiusUploadyyyydd.txt,no,as requested,612,
,Ozarks Technical Community College,otcpat.txt,yes,Daily,12742,
,Southwest Baptist University,SBUPATRONS,yes,"Monday, Thursday",2776,
SWBTS,,,,,,
,Southwestern Baptist Theological Seminary,patronLoad.txt,yes,Weekly,3352,
