Sierra,,,FOLIO
200,Local Loans Only,,Uknown/no parallel?
201,Academic Undergrad,,
202,Academic Grad,,
203,Academic Faculty,,
204,Academic Staff,,
205,Academic Affiliates,,
206,Academic Other,,
207,Public,,
208,Public Staff,,
209,Public Other,,
210,Test - Borrowing,,
211,Test - Non-Borrowing,,
212,CRL - Local Loans Only,,
213,CRL - Acad Undergrad,,
214,CRL - Academic Grad,,
215,CRL - Academic Faculty,,
216,CRL - Academic Staff,,
217,CRL - Acad Affiliates,,
218,CRL - Test,,
219,CRL - Test,,
220,MOBIUS VP 20 BOOK-AV,,
221,MOBIUS Placeholder,,
222,MOBIUS Placeholder,,
223,MOBIUS Placeholder,,
224,MOBIUS VP 10 BOOK-AV,,
225,MOBIUS Placeholder,,
226,MOBIUS Placeholder,,
227,MOBIUS 30 VP BOOK-AV,,
228,MOBIUS 30 BOOK,,
229,MOBIUS 20 BOOK-AV,,
230,MOBIUS 30 BOOK-AV,,
231,MOBIUS Placeholder,,
232,MOBIUS Placeholder,,
233,MOBIUS Placeholder,,
234,MOBIUS Placeholder,,
235,MOBIUS 20 BOOK-WAM,,
236,MOBIUS 20 BOOK-AV-WAM,,
237,MOBIUS 10 BOOK-AV-WAM,,
238,MOBIUS 30 BOOK-AV-WAM,,
239,MOBIUS 10 BOOK-WAM,,
240,MOBIUS 10 BOOK-AV,,
241,MOBIUS 30 BOOK-WAM,,
242,MOBIUS VP 20 BOOK,,
243,SLU-MERLINVP30ExtB-AV-W,,
244,SLU-MERLINVP20ExtB-AV-W,,
245,SLU-MERLIN30 ExtB-AV-W,,
246,MOBIUS VP 10 BOOK,,
247,SLU-MERLIN20ExtB-AV-W,,
248,MOBIUS VP 30 BOOK,,
249,MOBIUS 20 BOOK,,
250,MOBIUS 10 BOOK,,
251,SLU-MERLINVP30ExtB-AV,,
252,SLU-MERLINVP20ExtB-AV,,
253,MOBIUS Reserve Recall,,
254,MOBIUS VP Restricted,,
255,MOBIUS Restricted,,
