,Sierra PTYPE,,FOLIO Patron Group
0,,,
1,EC Staff,,ECC Staff
2,EC Faculty,,ECC Faculty
3,EC Student,,ECC Student
4,EC Community,,
5,EC Placeholder,,
6,EC Placeholder,,
7,EC Placeholder,,
8,EC Placeholder,,
9,EC Placeholder,,
10,EC Placeholder,,
11,EC Placeholder,,
12,EC Placeholder,,
13,EC Placeholder,,
14,EC Placeholder,,
15,EC Placeholder,,
16,EC Placeholder,,
17,EC Placeholder,,
18,EC Placeholder,,
19,EC Placeholder,,
20,EC Placeholder,,
21,EC Placeholder,,
22,EC Placeholder,,
23,EC Placeholder,,
24,EC Placeholder,,
25,EC Placeholder,,
26,EC Placeholder,,
27,EC Placeholder,,
28,EC Placeholder,,
29,EC Placeholder,,
30,EC Placeholder,,
31,MAC Student,,
32,MAC Faculty/Staff,,MAC Faculty/Staff
33,MAC Adjunct,,MAC Adjunct
34,MAC Upward Bound,,MAC Upward Bound
35,MAC Talent Search,,MAC Talent Search
36,MAC Community Borrowers,,MAC Community Borrowers
