Sierra,,,FOLIO
0,,,
1,LU Undergraduate,,LU Undergraduate
2,LU Graduate,,LU Graduate
3,LU Faculty,-->>,LU Faculty/Staff
4,LU Community,,LU Community
5,lu place holder,,
6,lu place holder,,
7,LU Interlibrary Loan,,LU Interlibrary Loan
8,LU Staff,,
9,lu place holder,,
10,LU Board Members/Faculty Emeritu,,
11,Cluster Patron,,
12,lu place holder,,
13,lu place holder,,
14,lu place holder,,
15,lu place holder,,
16,lu place holder,,
17,lu place holder,,
18,lu place holder,,
19,lu place holder,,
20,lu place holder,,
21,lu place holder,,
22,lu place holder,,
23,lu place holder,,
24,lu place holder,,
25,lu place holder,,
26,lu place holder,,
27,lu place holder,,
28,lu place holder,,
29,lu place holder,,
30,lu place holder,,
31,lu place holder,,
32,lu place holder,,
33,lu place holder,,
34,lu place holder,,
35,lu place holder,,
36,lu place holder,,
37,lu place holder,,
38,lu place holder,,
39,lu place holder,,
40,lu place holder,,
41,lu place holder,,
42,lu place holder,,
43,lu place holder,,
44,lu place holder,,
45,lu place holder,,
46,lu place holder,,
47,lu place holder,,
48,lu place holder,,
49,lu place holder,,
50,lu place holder,,
51,Col Evng Students,--->>,Col Students
52,Col Day Students,,
53,Col Grad Students,,
54,Col Faculty,--->>,Col Faculty/Staff
55,Col Staff,,
56,Col ESD-Faculty,,
57,Col ILL,,Col ILL
58,Col Courtesy,,Col Courtesy
59,Col ESD-MO Student,,
60,Col ESD-MO Faculty,,
61,Col ESD-MO Staff,,
62,Col Online-MO Student,,
63,Col Online-MO Faculty,,
64,Col Library Staff,,
65,cc placeholder,,Col Board/Emeriti
66,cc placeholder,,
67,cc placeholder,,
68,cc placeholder,,
69,cc placeholder,,
70,cc placeholder,,
71,cc placeholder,,
72,cc placeholder,,
73,cc placeholder,,
74,cc placeholder,,
75,cc placeholder,,
76,cc placeholder,,
77,cc placeholder,,
78,cc placeholder,,
79,cc placeholder,,
80,MOSL State Employee,,MOSL - State Employee
81,MOSL emp restricted,,MOSL - Restricted State Employee
82,MOSL placeholder,,
83,MOSL State Intern,,MOSL - State Intern
84,MOSL placeholder,,
85,MOSL Missouri Library,,MOSL - Public Library Director
86,MOSL Public Patron,,MOSL - Missouri Resident
87,MOSL ILL (Outgoing),,MOSL - ILL Lending
88,MOSL placeholder,,
89,,,
90,,,
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,
101,SC Undergrad Student,,SC Undergrad Student
102,SC Graduate Student,,SC Graduate Student
103,SC Fac/Staff/Ret,,SC Fac/Staff/Ret
104,SC Placeholder,,
105,SC Placeholder,,
106,SC Placeholder,,
107,SC Placeholder,,
108,SC Children's School,,SC Children's School
109,SC Placeholder,,
110,SC Placeholder,,
111,SC ILL,,SC ILL
112,SC Guests,,SC Guests
113,,,
114,,,
115,,,
116,,,
117,,,
118,,,
119,,,
120,,,
121,,,
122,,,
123,,,
124,,,
125,,,
126,,,
127,,,
128,,,
129,,,
130,,,
131,,,
132,,,
133,,,
134,,,
135,,,
136,,,
137,,,
138,,,
139,,,
140,,,
141,,,
142,,,
143,,,
144,,,
145,,,
146,,,
147,,,
148,,,
149,,,
150,,,
151,WC Undergraduate,,WC Undergraduate
152,,,
153,WC Faculty,,WC Faculty
154,WC Staff,,WC Staff
155,,,
156,WC Resident,,WC Resident
157,,,
158,,,
159,WC Interlibrary Loan,,WC Interlibrary Loan
160,,,
161,,,
162,,,
163,,,
164,,,
165,,,
166,,,
167,,,
168,,,
169,,,
170,,,
171,,,
172,,,
173,,,
174,,,
175,,,
176,,,
177,,,
178,,,
179,,,
180,,,
181,WW Undergrad,,WW Undergrad
182,WW Grad,,WW Grad
183,WW Faculty/Staff,,WW Faculty/Staff
184,WW Community Guest,,WW Community Guest
185,WW ILL,,WW ILL
186,WW Adjunct Faculty,,WW Adjunct Faculty
187,WW Adult studies,,WW Adult studies
188,,,
189,,,
190,,,
191,,,
192,,,
193,,,
194,,,
195,,,
196,,,
197,,,
198,,,
199,,,
200,Local Loans Only,,
201,Academic Undergrad,,
202,Academic Grad,,
203,Academic Faculty,,
204,Academic Staff,,
205,Academic Affiliates,,
206,Academic Other,,
207,Public,,
208,Public Staff,,
209,Public Other,,
210,Test - Borrowing,,
211,Test - Non-Borrowing,,
212,CRL - Local Loans Only,,
213,CRL - Acad Undergrad,,
214,CRL - Academic Grad,,
215,CRL - Academic Faculty,,
216,CRL - Academic Staff,,
217,CRL - Acad Affiliates,,
218,CRL - Test,,
219,CRL - Test,,
220,MOBIUS VP 20 BOOK-AV,,
221,MOBIUS Placeholder,,
222,MOBIUS Placeholder,,
223,MOBIUS Placeholder,,
224,MOBIUS VP 10 BOOK-AV,,
225,MOBIUS Placeholder,,
226,MOBIUS Placeholder,,
227,MOBIUS 30 VP BOOK-AV,,
228,MOBIUS 30 BOOK,,
229,MOBIUS 20 BOOK-AV,,
230,MOBIUS 30 BOOK-AV,,
231,MOBIUS Placeholder,,
232,MOBIUS Placeholder,,
233,MOBIUS Placeholder,,
234,MOBIUS Placeholder,,
235,MOBIUS 20 BOOK-WAM,,
236,MOBIUS 20 BOOK-AV-WAM,,
237,MOBIUS 10 BOOK-AV-WAM,,
238,MOBIUS 30 BOOK-AV-WAM,,
239,MOBIUS 10 BOOK-WAM,,
240,MOBIUS 10 BOOK-AV,,
241,MOBIUS 30 BOOK-WAM,,
242,MOBIUS VP 20 BOOK,,
243,SLU-MERLINVP30ExtB-AV-W,,
244,SLU-MERLINVP30ExtB-AV-W,,
245,SLU-MERLIN30ExtB-AV-W,,
246,MOBIUS VP 10 BOOK,,
247,SLU-MERLIN20ExtB-AV-W,,
248,MOBIUS VP 30 BOOK,,
249,MOBIUS 20 BOOK,,
250,MOBIUS 10 BOOK,,
251,SLU-MERLINVP30ExtB-AV,,
252,SLU-MERLINVP20ExtB-AV,,
253,MOBIUS Reserve Recall,,
254,MOBIUS VP Restricted,,
255,,,
