Sierra,,,FOLIO
0,,,
1,AU student,,AU student
2,AU ProfUG -- Profess. Undergrad,,AU ProfUG -- Profess. Undergrad
3,AU ProfG -- Profess. Graduate,,AU ProfG -- Profess. Graduate
4,AU MBA -- MBA,,AU MBA -- MBA
5,AU staff,,AU staff
6,AU PsycG -- Psychology Graduate,,AU PsycG -- Psychology Graduate
7,AU EdG -- Education Graduate,,AU EdG -- Education Graduate
8,AU Kines G,,AU Kines G
9,AU VisG – VisCom Graduate,,AU VisG – VisCom Graduate
10,AU guest,,AU guest
11,AU UGY1 -- Undergrad Freshman,,AU UGY1 -- Undergrad Freshman
12,AU UGY2 -- Undergrad Sophmore,,AU UGY2 -- Undergrad Sophmore
13,AU UGY3 -- Undergrad Junior,,AU UGY3 -- Undergrad Junior
14,AU UGY4 -- Undergrad Senior,,AU UGY4 -- Undergrad Senior
15,AU ILL,,AU ILL
16,,,
17,,,
18,MW Dual Credit Instructor,,MW Dual Credit Instructor
19,MW Dual Credit,,MW Dual Credit
20,,,
21,MW Faculty,,MW Faculty
22,MW Staff,,MW Staff
23,MW Students,,MW Students
24,MW Retirees,,MW Retirees
25,,,
26,MW Community,,MW Community
27,,,
28,,,
29,,,
30,MW ILL,,MW ILL
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,MW Graduate,,
40,MW Adjunct,,
41,WJ student,,WJ student
42,WJ placeholder,,
43,WJ faculty,,WJ faculty
44,WJ placeholder,,
45,WJ staff,,WJ staff
46,WJ placeholder,,
47,WJ alumni,,WJ alumni
48,WJ college west,,WJ college west
49,WJ placeholder,,
50,WJ family,,WJ family
51,WJ courtesy cards,,WJ courtesy cards
52,WJ interlibrary loan,,WJ interlibrary loan
53,WJ placeholder,,
54,WJ Friend,,WJ Friend
55,MCC Student,,MCC Student
56,MCC Employee,,MCC Employee
57,MCC ILL,,MCC ILL
58,MCC Non-MOBIUS,,MCC Non-MOBIUS
59,,,
60,MCC Placeholder,,
61,MBTS Faculty,,MBTS Faculty
62,MBTS Adjunct faculty,,MBTS Adjunct faculty
63,MBTS Administration,,MBTS Administration
64,MBTS Trustee,,
65,MBTS Library,,
66,MBTS Staff,,
67,MBTS Student,,MBTS Student
68,MBTS Doctoral Student,,MBTS Doctoral Student
